transaction_id,transaction_date,department,transaction_type,description,amount,currency,profit_margin,cost_center,payment_method,approval_status,transaction_date_year,transaction_date_month,transaction_date_day,transaction_date_weekday
10003,2023-01-01,4,1,39,0.004929575778061448,2,0.6538461538461537,11,2,0,2023,1,1,6
16301,2023-01-01,4,0,41,0.0007784354547615687,3,0.7307692307692308,12,2,0,2023,1,1,6
6856,2023-01-01,4,1,18,0.0006065900037927216,1,0.6282051282051282,12,0,0,2023,1,1,6
2116,2023-01-01,3,0,23,0.002247037146045422,3,0.7307692307692308,8,0,1,2023,1,1,6
22818,2023-01-01,1,0,15,0.005230932490435649,3,0.7307692307692308,2,0,0,2023,1,1,6
7376,2023-01-01,1,0,11,0.006885745142480202,3,0.7307692307692308,3,0,0,2023,1,1,6
24939,2023-01-01,1,0,6,0.004218799333286796,2,0.7307692307692308,3,3,1,2023,1,1,6
12610,2023-01-01,4,0,5,0.0012783897981761575,2,0.7307692307692308,13,2,0,2023,1,1,6
28174,2023-01-01,3,0,23,0.0006310065044400697,3,0.7307692307692308,10,3,0,2023,1,1,6
26183,2023-01-01,1,1,37,0.008537973408495207,3,0.6153846153846152,3,3,0,2023,1,1,6
14031,2023-01-01,3,0,45,0.000621582686763292,1,0.7307692307692308,9,0,0,2023,1,1,6
20651,2023-01-01,1,0,17,0.022720673032081546,3,0.7307692307692308,3,2,0,2023,1,1,6
24014,2023-01-01,3,0,13,0.0004636539923635934,3,0.7307692307692308,9,3,0,2023,1,1,6
29645,2023-01-01,4,1,39,0.23074408436876334,3,0.5641025641025641,13,1,0,2023,1,1,6
19297,2023-01-01,0,0,30,0.0160884680537636,2,0.7307692307692308,1,0,0,2023,1,1,6
14007,2023-01-01,2,0,0,0.0009795471851821642,3,0.7307692307692308,6,2,0,2023,1,1,6
4234,2023-01-01,3,0,20,6.943239621639613e-05,2,0.7307692307692308,8,2,0,2023,1,1,6
23721,2023-01-01,3,1,24,0.002378386673664261,0,0.3076923076923076,7,0,0,2023,1,1,6
7298,2023-01-01,1,0,17,0.0011838488481496893,3,0.7307692307692308,2,1,1,2023,1,1,6
3617,2023-01-01,3,0,19,0.00018655698734206108,0,0.7307692307692308,7,3,0,2023,1,1,6
16505,2023-01-01,0,0,42,0.020194641141482433,3,0.7307692307692308,1,2,0,2023,1,1,6
11707,2023-01-01,4,0,31,0.0009312656637515133,3,0.7307692307692308,12,0,0,2023,1,1,6
22905,2023-01-01,1,1,7,0.04283306798050652,2,0.8974358974358976,2,2,0,2023,1,1,6
16455,2023-01-01,3,1,8,0.0007393236377370079,3,0.3076923076923076,8,0,1,2023,1,1,6
2587,2023-01-01,4,1,18,0.0029552292047905276,2,0.49999999999999994,13,0,0,2023,1,1,6
19120,2023-01-01,4,1,39,0.040180136247858274,3,0.6282051282051282,11,0,0,2023,1,1,6
14818,2023-01-01,3,0,20,0.0015003117834664701,3,0.7307692307692308,8,3,0,2023,1,1,6
16667,2023-01-02,1,0,22,0.002825766603373178,3,0.7307692307692308,3,0,0,2023,1,2,0
