product_id,product_name,product_category,brand,launch_date,price,cost,supplier_id,stock_quantity,rating,warranty_period,launch_date_year,launch_date_month,launch_date_day,launch_date_weekday
424,5069,2,27,2019-10-15,0.179854985822543,0.16571932074313878,78,0.169078715142958,0.8461538461538463,0.31666666666666665,2019,10,15,1
8709,12151,5,56,2015-01-08,0.10543085108159468,0.09036303344753932,340,0.12389692905047653,0.8974358974358974,0.11666666666666667,2015,1,8,3
2360,15064,2,1,2019-12-01,0.36007400999936545,0.26624288507153276,250,0.07200847158489235,0.6923076923076923,0.5333333333333333,2019,12,1,6
8799,13754,3,22,2016-04-07,0.3068409152391799,0.2367682981995838,25,0.1877867984468761,0.6153846153846154,0.26666666666666666,2016,4,7,3
4801,12891,4,24,2015-11-21,0.16504964614804005,0.1320003618926988,58,0.3247440875397105,0.6153846153846154,0.26666666666666666,2015,11,21,5
16978,9100,1,43,2019-08-08,0.007541271595990903,0.0072732565229192145,390,0.2213201553123897,0.6410256410256412,0.0,2019,8,8,3
10462,17042,2,27,2023-09-15,0.6195832595793853,0.5942553467679441,193,0.21284857042004943,0.5897435897435899,0.5333333333333333,2023,9,15,4
1778,17259,3,40,2021-06-04,0.6607129140101329,0.611476718891979,453,0.24779385810095306,0.8205128205128205,0.8,2021,6,4,4
3898,8698,1,29,2024-06-08,0.018098383870095085,0.013327091995484206,227,0.09459936463113308,0.6923076923076923,0.0,2024,6,8,5
16549,12522,2,27,2019-12-07,0.32546698773290944,0.2626790287114653,305,0.25414754677020823,0.5641025641025641,0.5166666666666666,2019,12,7,5
11166,4707,2,3,2020-09-07,0.640126378085559,0.5158623076953336,191,0.13978115072361455,0.3333333333333333,0.3333333333333333,2020,9,7,0
14478,11024,2,42,2017-06-20,0.33763054448782476,0.31763164830323454,109,0.11895517119661136,0.7948717948717949,0.35,2017,6,20,1
15907,13957,3,10,2016-09-24,0.5082676784038421,0.3614088640109512,256,0.2799152841510766,0.8205128205128205,0.6166666666666667,2016,9,24,5
18482,1414,0,0,2016-05-09,0.02124447680340927,0.020655419146483937,302,0.09459936463113308,0.7948717948717949,0.05,2016,5,9,0
13234,13022,4,24,2017-11-10,0.0619900540713849,0.04501630483952812,483,0.1602541475467702,0.4871794871794873,0.2,2017,11,10,4
15151,9495,3,40,2021-01-31,0.5729830104301997,0.4153584114483968,138,0.06706671373102718,0.9487179487179487,0.3833333333333333,2021,1,31,6
1250,2155,3,23,2018-12-09,0.41357762867419906,0.3705191193419846,287,0.14295799505824214,0.8461538461538463,0.43333333333333335,2018,12,9,6
13310,9329,3,53,2024-07-29,0.7014718504837701,0.5433779536541329,164,0.3169784680550653,0.7692307692307692,0.7666666666666666,2024,7,29,0
19163,617,1,35,2018-12-01,0.012490857293625321,0.01076630778974034,107,0.03529827038475115,0.8205128205128205,0.0,2018,12,1,5
13938,3379,3,26,2015-07-21,0.545526502994132,0.39609549246909154,231,0.1415460642428521,0.6923076923076923,0.9166666666666666,2015,7,21,1
10788,17973,2,42,2023-11-01,0.666019858459216,0.6024766048171065,302,0.2848570420049417,0.8461538461538463,0.21666666666666667,2023,11,1,2
19562,1087,0,50,2023-11-18,0.06643198995387734,0.0637757209335258,304,0.06283092128485704,0.8974358974358974,0.1,2023,11,18,5
11477,3735,5,6,2023-09-20,0.08383235532815218,0.06887368764726474,316,0.08648076244264032,0.7435897435897436,0.18333333333333332,2023,9,20,2
537,5476,4,14,2020-01-17,0.16504964614804005,0.16466904519331754,434,0.10801270737733851,0.7179487179487178,0.11666666666666667,2020,1,17,4
5096,8202,4,37,2016-09-12,0.03428974113199229,0.028117489251393485,443,0.4264031062477938,0.7179487179487178,0.13333333333333333,2016,9,12,0
4960,6126,1,36,2019-02-06,0.014638349603732562,0.014121682486360183,440,0.1288386869043417,0.5641025641025641,0.0,2019,2,6,2
10714,15687,0,17,2021-10-13,0.0756598612646492,0.07333047490549485,88,0.12177903282739146,0.5641025641025641,0.0,2021,10,13,2
16245,17944,2,8,2019-09-10,0.39842828945390907,0.34615823364894044,317,0.24708789269325804,0.7179487179487178,0.4166666666666667,2019,9,10,1
12279,10314,1,7,2021-10-15,0.009849074374037719,0.0068562931960239005,163,0.2276738439816449,0.8974358974358974,0.0,2021,10,15,4
6944,9183,3,40,2018-10-06,0.17488202151500074,0.1690786290560501,23,0.05435933639251677,0.6666666666666667,0.8333333333333334,2018,10,6,5
4736,15092,2,27,2019-09-05,0.5332293541826003,0.5237216730456811,8,0.3399223438051535,0.6923076923076923,0.3,2019,9,5,3
7640,9360,3,15,2021-04-08,0.35994375774416454,0.302026992474992,394,0.14295799505824214,0.6153846153846154,0.7333333333333333,2021,4,8,3
5787,17325,3,22,2018-02-27,0.2844341875432087,0.2710497641797033,443,0.07518531591951995,0.7948717948717949,0.6666666666666666,2018,2,27,1
17250,8867,3,52,2019-01-27,0.33486852871728245,0.32970785031803285,292,0.04871161313095659,0.4871794871794873,0.6166666666666667,2019,1,27,6
7271,9100,1,35,2021-05-26,0.0035735875144863893,0.003595325290399223,211,0.052594422873279215,0.6666666666666667,0.0,2021,5,26,2
8740,11507,0,51,2024-04-18,0.04487691161883514,0.045252321817016036,322,0.16131309565831276,0.9487179487179487,0.1,2024,4,18,3
9887,12605,2,19,2016-03-21,0.19330770592380578,0.16615988576778287,281,0.03776914931168373,0.4102564102564103,0.13333333333333333,2016,3,21,0
