supplier_id,supplier_name,region,country,contact_email,contract_start,contract_end,on_time_delivery_rate,quality_score,total_orders_supplied,contract_end_year,contract_end_month,contract_end_day,contract_end_weekday
26,2603,0,8262,2753,2019-12-03,2026-01-12,0.09090909090909083,0.9999999999999991,0.9868217054263566,2026,1,12,0
5293,14,3,3355,2753,2020-04-03,2025-07-31,0.545454545454545,0.45454545454545414,0.08798449612403103,2025,7,31,3
1727,6172,1,8589,5924,2021-04-18,2024-03-01,0.545454545454545,0.545454545454545,0.7356589147286823,2024,3,1,4
4903,6189,1,291,2753,2021-07-09,2024-01-24,0.0,0.3636363636363642,0.05155038759689923,2024,1,24,2
4597,2201,2,1941,0,2018-05-12,2025-01-29,1.0,0.8181818181818175,0.0,2025,1,29,2
517,1877,0,7779,1631,2018-08-30,2023-01-23,0.3636363636363633,0.6363636363636358,0.16744186046511628,2023,1,23,0
2052,4968,1,2775,2752,2021-01-14,2022-11-18,0.0,0.6363636363636358,0.3612403100775194,2022,11,18,4
2643,5467,4,2776,4567,2020-07-20,2024-07-27,0.18181818181818166,0.18181818181818166,0.39883720930232563,2024,7,27,5
7974,2603,3,5236,1765,2018-05-10,2026-01-12,1.0,0.8181818181818175,0.3984496124031008,2026,1,12,0
6009,271,2,3713,2753,2019-12-01,2024-01-14,1.0,0.9090909090909092,1.0,2024,1,14,6
4462,2189,4,8589,5856,2020-02-23,2023-05-29,0.2727272727272725,0.45454545454545414,0.9937984496124033,2023,5,29,0
4841,6134,4,8563,5249,2019-05-05,2023-12-04,0.45454545454545414,0.9999999999999991,0.9554263565891474,2023,12,4,0
689,672,3,0,2753,2020-02-01,2025-09-01,1.0,0.7272727272727266,0.40077519379844967,2025,9,1,0
3039,1659,1,3174,2448,2021-07-22,2021-12-30,0.545454545454545,0.9999999999999991,0.38333333333333336,2021,12,30,3
1604,1514,1,4101,3980,2021-07-22,2021-12-01,0.3636363636363633,0.545454545454545,0.3007751937984496,2021,12,1,2
2751,2603,4,291,5332,2018-08-10,2024-12-30,0.545454545454545,0.9999999999999991,0.5046511627906978,2024,12,30,0
2052,0,2,3897,2753,2020-07-05,2023-09-10,0.09090909090909083,0.9999999999999991,0.3984496124031008,2023,9,10,6
2751,2603,4,2775,2753,2019-11-15,2024-05-12,0.2727272727272725,0.9999999999999991,0.3116279069767442,2024,5,12,6
0,7378,1,3424,273,2021-07-22,2021-12-01,1.0,0.2727272727272725,0.12829457364341085,2021,12,1,2
308,271,4,8000,7925,2020-07-10,2025-06-14,0.45454545454545414,0.9999999999999991,0.0612403100775194,2025,6,14,5
7127,8690,1,949,0,2019-11-30,2024-01-12,0.0,0.7272727272727266,0.5531007751937984,2024,1,12,4
403,8963,1,1544,5841,2020-02-12,2024-08-30,1.0,0.8181818181818175,0.9058139534883722,2024,8,30,4
4739,113,2,2776,2753,2018-05-10,2022-03-12,0.9090909090909083,0.9090909090909092,0.1290697674418605,2022,3,12,5
4760,5089,2,3407,5424,2021-02-22,2023-03-14,0.45454545454545414,0.2727272727272725,0.6081395348837209,2023,3,14,1
308,4033,4,3634,7993,2020-11-24,2024-07-22,0.545454545454545,0.545454545454545,0.11976744186046512,2024,7,22,0
2750,2603,0,2776,7700,2018-11-01,2022-05-22,1.0,0.9999999999999991,0.6135658914728683,2022,5,22,6
2751,0,1,7914,2753,2018-05-10,2024-12-02,1.0,0.7272727272727266,0.22945736434108527,2024,12,2,0
1840,8834,3,291,8548,2020-03-10,2022-06-29,1.0,0.7272727272727266,0.9794573643410853,2022,6,29,2
3917,7139,4,5169,6493,2019-03-01,2026-01-12,0.09090909090909083,0.7272727272727266,0.18410852713178294,2026,1,12,0
5110,5958,1,2976,1562,2018-12-14,2022-05-10,0.18181818181818166,0.0,1.0,2022,5,10,1
3250,2603,0,6871,6887,2020-05-10,2024-09-20,0.0,0.18181818181818166,0.27558139534883724,2024,9,20,4
2751,442,1,3603,1767,2021-07-17,2024-03-01,0.2727272727272725,0.45454545454545414,0.11472868217054266,2024,3,1,4
6372,586,3,8439,273,2018-06-05,2021-12-01,0.545454545454545,0.09090909090909083,0.35697674418604647,2021,12,1,2
307,2391,2,291,2753,2019-11-05,2024-12-13,0.18181818181818166,0.3636363636363642,1.0,2024,12,13,4
6397,7139,0,5997,2753,2021-07-12,2024-02-14,0.09090909090909083,0.09090909090909083,0.9224806201550388,2024,2,14,2
2751,3076,1,5308,4947,2018-06-18,2024-08-14,0.0,0.7272727272727266,0.03837209302325584,2024,8,14,2
2751,3610,3,2776,2022,2019-06-15,2025-03-13,0.09090909090909083,0.9999999999999991,0.18062015503875972,2025,3,13,3
0,8074,4,437,1976,2021-07-22,2024-12-12,1.0,0.545454545454545,0.3437984496124031,2024,12,12,3
7582,2424,1,2743,2753,2021-07-22,2024-06-17,0.545454545454545,0.9090909090909092,0.06899224806201554,2024,6,17,0
4684,3557,1,2776,6584,2019-07-16,2024-11-10,0.9090909090909083,0.45454545454545414,0.12596899224806202,2024,11,10,6
477,6060,3,8191,6983,2018-08-04,2022-03-12,0.0,0.09090909090909083,0.27286821705426356,2022,3,12,5
755,2603,1,2776,1773,2021-06-03,2025-03-15,1.0,0.7272727272727266,0.6108527131782946,2025,3,15,5
308,514,1,8583,2753,2018-11-01,2022-11-22,0.0,0.0,0.2748062015503876,2022,11,22,1
2751,2603,2,291,8869,2021-07-22,2024-06-01,1.0,0.45454545454545414,0.7383720930232558,2024,6,1,5
2750,1187,1,2776,8224,2020-11-01,2024-12-11,0.9090909090909083,0.9999999999999991,0.18410852713178294,2024,12,11,2
6791,271,1,3725,6285,2019-04-22,2023-01-21,0.9090909090909083,0.9999999999999991,0.0,2023,1,21,5
