date,region,total_sales,active_users,new_customers,marketing_spend,website_traffic,conversion_rate,customer_satisfaction
2023-01-01,East,48667.02,1479,61,2552.921,8714,0.0258,0.9661
2023-01-01,North,50184.99,2608,181,1745.597,9477,0.0232,0.9688
2023-01-01,South,61302.11,2021,76,3742.634,20596,0.0259,0.9641
2023-01-01,West,28004.12,1523,48,2582.923,14399,0.0291,0.9477
2023-01-02,East,101215.24,2956,193,4152.18,16309,0.0216,0.9469
2023-01-02,North,63722.65,3036,98,4299.28,17427,0.0211,0.9691
2023-01-02,South,47341.57,2090,113,4179.03,15364,0.0262,0.9363
2023-01-02,West,27640.64,1698,82,7113.8,20218,0.0322,0.9496
2023-01-03,East,56117.38,2476,139,3449.54,15936,0.0301,0.918
2023-01-03,North,106848.91,2075,96,4293.53,14915,0.0292,0.9639
2023-01-03,South,76384.81,1928,153,3921.44,11759,0.0195,0.9318
2023-01-03,West,56906.15,3079,65,3187.1,11683,0.0347,0.9423
2023-01-04,East,59806.84,2683,74,3727.53,11999,0.0305,0.9406
2023-01-04,North,49483.34,2409,146,3359.47,18159,0.0344,0.9479
2023-01-04,South,48273.67,3071,141,3814.22,16524,0.0323,0.9386
2023-01-04,West,66080.87,2250,233,2715.91,6735,0.0312,0.9423
2023-01-05,East,85036.67,2332,84,3188.87,19010,0.0242,0.9608
2023-01-05,North,65785.52,1306,89,2616.52,13708,0.0351,0.9385
2023-01-05,South,93012.24,1700,81,6072.77,24893,0.0236,0.9199
2023-01-05,West,40304.98,1773,57,4361.48,15666,0.0325,0.9129
2023-01-06,East,50399.6,1886,169,4842.18,14197,0.0301,0.9198
2023-01-06,North,65296.16,3510,290,3793.32,14924,0.0277,0.9523
2023-01-06,South,44486.53,2507,139,4624.11,15502,0.0224,0.9506
2023-01-06,West,32905.17,1845,109,7210.67,19718,0.0342,0.9229
2023-01-07,East,45273.64,1875,73,1764.6509999999998,14820,0.034,0.9425
2023-01-07,North,81672.91,937,80,3448.172,22418,0.0267,0.9208
2023-01-07,South,76331.44,2343,51,2159.605,12030,0.0329,0.9581
2023-01-07,West,20867.97,1334,35,2694.818,10060,0.0301,0.8895
2023-01-08,East,52421.07,1422,152,2371.698,9453,0.0336,0.9482
2023-01-08,North,43499.51,3563,107,1966.93,13042,0.0317,0.9424
2023-01-08,South,35642.34,1092,38,1831.27,8405,0.0272,0.9568
2023-01-08,West,41806.37,1392,35,3969.07,8731,0.0245,0.9434
2023-01-09,East,71936.0,2943,104,2426.09,16082,0.0294,0.9455
2023-01-09,North,41452.52,2923,108,3816.59,14551,0.0343,0.9011
2023-01-09,South,38881.99,2433,85,5476.67,13472,0.0219,0.8972
2023-01-09,West,51917.56,1613,127,4198.08,8287,0.0288,0.9299
2023-01-10,East,87210.08,1793,366,4607.59,31302,0.0292,0.9552
2023-01-10,North,59995.55,1832,88,3681.29,31434,0.0246,0.9508
2023-01-10,South,66507.22,1790,88,3452.08,11047,0.0276,0.9298
2023-01-10,West,73309.4,2309,102,2372.99,13492,0.0317,0.9549
2023-01-11,East,81671.74,2322,200,5203.96,30266,0.0196,0.9251
2023-01-11,North,69054.03,2575,146,4156.09,23071,0.0306,0.9221
2023-01-11,South,58795.43,2127,113,6571.33,19073,0.0291,0.934
2023-01-11,West,63208.29,2212,73,4647.61,11588,0.0308,0.9603
2023-01-12,East,75959.5,2405,98,2805.41,20779,0.0337,0.9476
2023-01-12,North,55884.04,3735,191,5029.78,23885,0.0208,0.9655
2023-01-12,South,49592.81,2691,170,3709.98,10849,0.0351,0.8929
2023-01-12,West,56725.84,2095,150,3763.73,13444,0.0267,0.9492
2023-01-13,East,74832.79,3368,165,5343.4,17859,0.0321,0.9422
2023-01-13,North,64104.67,3715,84,5607.62,21724,0.0264,0.9872
2023-01-13,South,68060.51,1683,107,3037.98,13779,0.0282,0.9203
2023-01-13,West,53415.06,2137,108,4168.52,14759,0.0228,0.9074
