supplier_id,supplier_name,region,country,contact_email,contract_start,contract_end,on_time_delivery_rate,quality_score,total_orders_supplied
 0 ,: ,Asia Pacific,suppliercountry_i9{_a,: ,2019-12-03,2026-01-12,0.83,0.88,3086
contact, 0,Middle East & Africa,:00end-id-,,2020-04-03,2025-07-31,0.88,0.82,767
00,data: ,Europe,{,contractdelivery,2021-04-18,2024-03-01,0.88,0.83,2438
__start19 ,data_time9,Europe,", ",: ,2021-07-09,2024-01-24,0.82,0.81,673
_ 0region_orderssupplieds,400,Latin America,00email., ,2018-05-12,2025-01-29,0.93,0.86,540
",-00: ",00}00supplier@,Asia Pacific,start ,.8s.total ,2018-08-30,2023-01-23,0.86,0.84,972
1,_qualityend,Europe,:,:,2021-01-14,2022-11-18,0.82,0.84,1472
8a,contract ,North America,,_ ,2020-07-20,2024-07-27,0.84,0.79,1569
supplier-,,Middle East & Africa,adelivery_{,"0-on001, ",2018-05-10,2026-01-12,0.93,0.86,1568
country 0_00,", ",Latin America,:country00i}_ ,,2019-12-01,2024-01-14,0.93,0.87,3120
T00.s9,"4, ",North America,{,contract_name,2020-02-23,2023-05-29,0.85,0.82,3104
___,"data , ",North America,totalp5:T00id.,a__s,2019-05-05,2023-12-04,0.87,0.88,3005
",: ",",:00",Middle East & Africa, ,: ,2020-02-01,2025-09-01,0.93,0.85,1574
: {,00 ,Europe,:-1: 00i_: 01orders ,5_supplied7p09,2021-07-22,2021-12-30,0.88,0.88,1529
.: ,.2,Europe,"A,rate1._ ",:supplier: ,2021-07-22,2021-12-01,0.86,0.83,1316
: ,: ,North America,", ",contact- _00: ,2018-08-10,2024-12-30,0.88,0.88,1842
1, ,Latin America,:region,: ,2020-07-05,2023-09-10,0.83,0.88,1568
,: ,North America,:,: ,2019-11-15,2024-05-12,0.85,0.88,1344
 ,rate_:00,Europe,:400,", ",2021-07-22,2021-12-01,0.93,0.8,871
", ",", ",North America,supplier00,"supplied 8@}{ :quality.007,9 ",2020-07-10,2025-06-14,0.87,0.88,698
"p, ",} ,Europe,",oi", ,2019-11-30,2024-01-12,0.82,0.85,1967
", _",}time,Europe,.,contract_end,2020-02-12,2024-08-30,0.93,0.86,2877
_7name, 0_scoreid,Latin America,: ,,2018-05-10,2022-03-12,0.92,0.87,873
_: ,_}end,Latin America,:2,contact_77,2021-02-22,2023-03-14,0.87,0.8,2109
", ","@end-}-1200 0,",North America,:_name,supplier,2020-11-24,2024-07-22,0.88,0.83,849
:,: ,Asia Pacific,: ,s:}9 a,2018-11-01,2022-05-22,0.93,0.88,2123
, ,Europe,suppliedregion,: ,2018-05-10,2024-12-02,0.93,0.85,1132
"00:00, ",}_,Middle East & Africa,", ",total_eeplnend 0s1 ,2020-03-10,2022-06-29,0.93,0.85,3067
:quality,quality,North America,"a,062",end,2019-03-01,2026-01-12,0.83,0.85,1015
_score{s,country.,Europe,: S,. ,2018-12-14,2022-05-10,0.84,0.77,3120
":00,: ",: ,Asia Pacific,on,on,2020-05-10,2024-09-20,0.82,0.79,1251
: ,", }",Europe,:__.@deliverynsuppliertotal0{,00,2021-07-17,2024-03-01,0.85,0.82,836
deliveryname,",1",Middle East & Africa,total5,", ",2018-06-05,2021-12-01,0.88,0.78,1461
",","8, 0",Latin America,", ",,2019-11-05,2024-12-13,0.84,0.81,3120
"e00,2",quality,Asia Pacific,country-score.p ,,2021-07-12,2024-02-14,0.83,0.78,2920
,:.38 0_7contract,Europe,"contact.9l,",_delivery,2018-06-18,2024-08-14,0.82,0.85,639
: ,":contract 2,2onT00:-contract ",Middle East & Africa,: ,"0on,00",2019-06-15,2025-03-13,0.83,0.88,1006
 ,supplier_,North America,", start","00supplier, ",2021-07-22,2024-12-12,0.93,0.83,1427
regionrates,800_,Europe,"9_,: ",: ,2021-07-22,2024-06-17,0.88,0.87,718
_00,:_ostart00end8,Europe,: ,id_,2019-07-16,2024-11-10,0.92,0.82,865
", {}8time",countrye.1a-,Middle East & Africa,supplier_email,on_ ,2018-08-04,2022-03-12,0.82,0.78,1244
",T00__deliverys ",: ,Europe,: ,00 000supplied88_,2021-06-03,2025-03-15,0.93,0.85,2116
