product_id,product_name,product_category,brand,launch_date,price,cost,supplier_id,stock_quantity,rating,warranty_period,profit_margin,age_days,profit_segment
PROD-AO677,Digital Router X 501,Electronics,Lenovo,2019-10-15,544.33,425.37,SUP00079,480,4.4,19,21.85,2220,Below Avg
PROD-LJ380,Pro Helmet Elite 457,Sports,Yonex,2015-01-08,321.49,233.8,SUP00341,352,4.6,7,27.28,3961,Below Avg
PROD-DD239,Smart Monitor Series 229,Electronics,Apple,2019-12-01,1083.94,680.92,SUP00251,205,3.8,32,37.18,2173,Below Avg
PROD-LM344,Rustic Bed Series 625,Furniture,Havertys,2016-04-07,924.55,605.99,SUP00026,533,3.5,16,34.46,3506,Below Avg
PROD-GG825,Professional Fan Edition 515,Home & Garden,KitchenAid,2015-11-21,500.0,339.65,SUP00059,921,3.5,16,32.07,3644,Below Avg
PROD-WI394,Mastering Self-Help,Books,Scholastic,2019-08-08,28.39,22.57,SUP00391,628,3.6,0,20.5,2288,Below Avg
PROD-NT256,Ultra Tablet Max 534,Electronics,Lenovo,2023-09-15,1860.96,1514.79,SUP00194,604,3.4,32,18.6,789,Low
PROD-CJ239,Vintage Chair Series 114,Furniture,Rooms To Go,2021-06-04,1984.11,1558.57,SUP00454,703,4.3,48,21.45,1622,Below Avg
PROD-FC853,Introduction to Science,Books,Macmillan,2024-06-08,60.0,37.96,SUP00228,269,3.8,0,36.73,522,Below Avg
PROD-VT794,Pro Smartphone X 850,Electronics,Lenovo,2019-12-07,980.32,671.86,SUP00306,721,3.3,31,31.47,2167,Below Avg
PROD-OR243,Digital Camera Plus 467,Electronics,Asus,2020-09-07,1922.47,1315.5,SUP00192,397,2.4,20,31.57,1892,Below Avg
PROD-SZ691,Premium Monitor X 675,Electronics,Samsung,2017-06-20,1016.74,811.56,SUP00110,338,4.2,21,20.18,3067,Below Avg
PROD-UX792,Rustic Dresser Edition 703,Furniture,Crate & Barrel,2016-09-24,1527.66,922.85,SUP00257,794,4.3,37,39.59,3336,Below Avg
PROD-YH497,Casual T-Shirt Model 868,Apparel,Adidas,2016-05-09,69.42,56.59,SUP00303,269,4.2,3,18.48,3474,Low
PROD-RH990,Professional Lawn Mower Model 133,Home & Garden,KitchenAid,2017-11-10,191.42,118.52,SUP00484,455,3.0,12,38.08,2924,Below Avg
PROD-TW458,Modern Table Series 650,Furniture,Rooms To Go,2021-01-31,1721.43,1060.0,SUP00139,191,4.8,23,38.42,1746,Below Avg
PROD-BQ754,Classic Sofa Model 230,Furniture,IKEA,2018-12-09,1244.14,946.01,SUP00288,406,4.4,26,23.96,2530,Below Avg
PROD-RL113,Modern Desk X 631,Furniture,West Elm,2024-07-29,2106.15,1385.45,SUP00165,899,4.1,46,34.22,471,Below Avg
PROD-ZG182,A Guide to Art,Books,Pearson,2018-12-01,43.21,31.45,SUP00108,101,4.3,0,27.22,2538,Below Avg
PROD-SF675,Compact Sofa Plus 859,Furniture,La-Z-Boy,2015-07-21,1639.22,1011.03,SUP00232,402,3.8,55,38.32,3767,Below Avg
PROD-OF167,Wireless Tablet Elite 193,Electronics,Samsung,2023-11-01,2000.0,1535.69,SUP00303,808,4.4,13,23.22,742,Below Avg
PROD-ZU391,Casual Dress Pro 365,Apparel,Under Armour,2023-11-18,204.72,166.21,SUP00305,179,4.6,6,18.81,725,Low
PROD-PB628,Competition Golf Club Pro 603,Sports,Callaway,2023-09-20,256.82,179.17,SUP00317,246,4.0,11,30.24,784,Below Avg
PROD-AS525,Eco Heater Elite 831,Home & Garden,Dyson,2020-01-17,500.0,422.7,SUP00435,307,3.9,7,15.46,2126,Low
PROD-GQ676,Heavy Duty Mixer Pro 947,Home & Garden,Philips,2016-09-12,108.48,75.56,SUP00444,1209,3.9,8,30.35,3348,Below Avg
PROD-GL757,Essential Art,Books,Penguin,2019-02-06,49.64,39.98,SUP00441,366,3.3,0,19.46,2471,Low
PROD-OC178,Sport Jacket Elite 390,Apparel,Gap,2021-10-13,232.35,190.5,SUP00089,346,3.3,0,18.01,1491,Low
PROD-VJ302,Wireless TV Pro 164,Electronics,Canon,2019-09-10,1198.78,884.08,SUP00318,701,3.9,25,26.25,2255,Below Avg
PROD-QB958,Practical Fiction,Books,Cambridge,2021-10-15,35.3,21.51,SUP00164,646,4.6,0,39.07,1489,Below Avg
PROD-JC747,Modern Bench X 871,Furniture,Rooms To Go,2018-10-06,529.44,433.91,SUP00024,155,3.7,50,18.04,2594,Low
PROD-GE556,Smart Printer Model 109,Electronics,Lenovo,2019-09-05,1602.4,1335.48,SUP00009,964,3.8,18,16.66,2260,Low
PROD-JZ380,Modern Dresser Plus 692,Furniture,Ethan Allen,2021-04-08,1083.55,771.89,SUP00395,406,3.5,44,28.76,1679,Below Avg
PROD-HO154,Vintage Dresser Pro 994,Furniture,Havertys,2018-02-27,857.46,693.14,SUP00444,214,4.2,40,19.16,2815,Low
PROD-WS220,Luxury Cabinet X 891,Furniture,Wayfair,2019-01-27,1008.47,842.26,SUP00293,139,3.0,37,16.48,2481,Low
PROD-JM725,Mastering Self-Help,Books,Pearson,2021-05-26,16.51,13.22,SUP00212,150,3.7,0,19.93,1631,Low
PROD-LK657,Premium Sweater Series 783,Apparel,Uniqlo,2024-04-18,140.18,119.12,SUP00323,458,4.8,6,15.02,573,Low
PROD-MY394,Pro TV Elite 542,Electronics,HP,2016-03-21,584.61,426.49,SUP00282,108,2.7,8,27.05,3523,Below Avg
PROD-SB802,The Fiction,Books,Hachette,2021-03-09,12.06,9.89,SUP00186,80,4.8,0,17.99,1709,Low
PROD-WE987,Premium Tablet Model 434,Electronics,LG,2015-08-09,749.73,626.04,SUP00413,210,4.4,30,16.5,3748,Low
PROD-OQ833,Heavy Duty Heater Elite 257,Home & Garden,Dyson,2019-12-22,390.09,279.49,SUP00034,437,4.1,17,28.35,2152,Below Avg
PROD-ZF364,4K Printer Model 117,Electronics,HP,2018-09-16,491.58,308.13,SUP00161,28,4.2,25,37.32,2614,Below Avg
PROD-WL991,Indoor Dumbbell Set X 224,Sports,The North Face,2019-03-18,390.53,279.25,SUP00142,657,3.7,8,28.49,2431,Below Avg
PROD-GK679,Practical Self-Help,Books,Hachette,2018-01-03,60.0,46.44,SUP00151,557,3.4,0,22.6,2870,Below Avg
PROD-WS128,Pro Router Series 445,Electronics,Samsung,2023-01-01,895.03,589.2,SUP00259,254,4.8,10,34.17,1046,Below Avg
PROD-PG495,Pro Laptop Model 216,Electronics,Asus,2024-05-13,677.74,484.15,SUP00032,73,4.7,28,28.56,548,Below Avg
PROD-LR824,Mastering Business,Books,Penguin,2017-03-17,60.0,48.48,SUP00285,507,4.3,0,19.2,3162,Low
PROD-SD538,Competition Tennis Racket Pro 836,Sports,Decathlon,2024-01-19,604.16,414.86,SUP00175,380,4.1,4,31.33,663,Below Avg
PROD-RZ503,Wireless Speaker Edition 324,Electronics,Canon,2021-06-21,424.94,322.78,SUP00303,253,4.7,30,24.04,1605,Below Avg
PROD-PR617,HD Laptop Max 596,Electronics,Dell,2023-02-15,1203.59,945.46,SUP00045,373,4.0,27,21.45,1001,Below Avg
PROD-VS860,Regular Shirt X 413,Apparel,Adidas,2022-09-05,151.98,101.84,SUP00078,255,3.3,1,32.99,1164,Below Avg
PROD-XG964,Elite Dumbbell Set Max 614,Sports,Adidas,2017-11-30,198.28,140.19,SUP00458,504,4.5,3,29.3,2904,Below Avg
PROD-GI704,Digital Camera Elite 823,Electronics,Sony,2018-05-27,1609.14,1235.14,SUP00371,244,4.7,10,23.24,2726,Below Avg
PROD-SM341,Heavy Duty Iron Edition 381,Home & Garden,Rubbermaid,2016-09-05,184.53,145.56,SUP00271,358,4.4,24,21.12,3355,Below Avg
PROD-VG671,HD Speaker Max 888,Electronics,HP,2022-11-16,330.76,247.53,SUP00408,164,3.5,23,25.16,1092,Below Avg
PROD-JV661,Executive Table Edition 871,Furniture,IKEA,2020-03-01,661.96,558.14,SUP00277,400,3.9,22,15.68,2082,Low
PROD-RH224,Premium Trimmer Series 956,Home & Garden,OXO,2023-06-03,163.53,133.76,SUP00206,380,4.6,21,18.2,893,Low
PROD-GY648,HD Printer Pro 872,Electronics,Sony,2017-11-30,1170.88,981.57,SUP00405,918,4.4,33,16.17,2904,Low
PROD-BI711,Digital TV Edition 366,Electronics,Canon,2024-04-04,1050.53,651.88,SUP00391,115,3.9,28,37.95,587,Below Avg
PROD-JH134,All-Weather Basketball Edition 137,Sports,Spalding,2021-08-06,732.01,467.62,SUP00463,455,4.5,12,36.12,1559,Below Avg
PROD-EZ426,Digital Headphones Plus 587,Electronics,Apple,2016-11-04,662.11,439.91,SUP00236,212,4.5,16,33.56,3295,Below Avg
PROD-GL458,Smart Lawn Mower X 655,Home & Garden,Miracle-Gro,2020-03-21,162.11,101.72,SUP00438,980,4.8,6,37.25,2062,Below Avg
PROD-MZ267,Essential Coffee Maker Plus 914,Home & Garden,Dyson,2019-07-03,197.33,147.7,SUP00361,340,3.9,19,25.15,2324,Below Avg
PROD-LY909,Executive Bench Elite 778,Furniture,Rooms To Go,2019-07-11,1371.72,906.91,SUP00385,504,4.3,38,33.89,2316,Below Avg
PROD-OJ745,Ultra Router Elite 770,Electronics,LG,2022-10-08,1309.49,807.71,SUP00022,322,4.5,31,38.32,1131,Below Avg
PROD-HI356,Classic Sneakers X 122,Apparel,Nike,2018-05-26,139.29,88.18,SUP00159,445,4.7,4,36.69,2727,Below Avg
PROD-XG556,Heavy Duty Blender Series 206,Home & Garden,Bosch,2021-11-10,182.38,148.38,SUP00492,108,4.8,23,18.64,1463,Low
PROD-AW584,All-Weather Basketball Pro 708,Sports,TaylorMade,2018-10-24,639.37,500.58,SUP00154,211,4.1,12,21.71,2576,Below Avg
PROD-GF241,All-Weather Gloves Edition 281,Sports,Yonex,2018-01-15,375.99,273.91,SUP00271,250,3.6,6,27.15,2858,Below Avg
PROD-QA970,Premium Iron Model 463,Home & Garden,Bosch,2018-06-15,144.9,116.36,SUP00097,188,4.7,23,19.7,2707,Low
PROD-SF370,Ultra Speaker Elite 549,Electronics,Apple,2021-03-10,1199.38,1001.39,SUP00284,1246,4.3,33,16.51,1708,Low
PROD-LP163,Pro Tablet Edition 361,Electronics,Canon,2018-05-04,1407.31,1192.97,SUP00370,250,4.7,26,15.23,2749,Low
PROD-GP839,All-Weather Gloves Series 424,Sports,Yonex,2019-06-12,128.29,103.25,SUP00072,332,2.8,8,19.52,2345,Low
PROD-EF640,Smart Mixer Series 114,Home & Garden,Bosch,2017-03-07,107.04,72.81,SUP00398,461,4.6,21,31.98,3172,Below Avg
PROD-HH770,Regular Sneakers Series 773,Apparel,Under Armour,2021-03-04,300.0,253.17,SUP00367,123,4.5,0,15.61,1714,Low
PROD-OS513,Practical Technology,Books,Macmillan,2024-12-16,11.83,7.36,SUP00350,502,3.6,0,37.79,331,Below Avg
PROD-AA394,Competition Yoga Mat Plus 772,Sports,Columbia,2018-04-03,800.0,632.79,SUP00476,275,4.8,8,20.9,2780,Below Avg
PROD-AR119,Essential Iron Elite 173,Home & Garden,KitchenAid,2015-04-05,370.76,260.5,SUP00075,282,4.8,12,29.74,3874,Below Avg
PROD-JW578,Comfort Sneakers Series 978,Apparel,Nike,2015-01-03,83.32,56.87,SUP00306,89,4.7,4,31.75,3966,Below Avg
PROD-SM370,Classic Pants Pro 998,Apparel,Gap,2023-08-19,111.5,69.97,SUP00029,973,4.3,1,37.25,816,Below Avg
PROD-CD718,Advanced History,Books,Cambridge,2015-05-21,13.18,8.03,SUP00312,230,4.1,0,39.07,3828,Below Avg
PROD-RY245,Premium Boots X 469,Apparel,Forever 21,2023-10-10,270.71,187.93,SUP00416,574,4.1,0,30.58,764,Below Avg
PROD-LM374,Performance Dumbbell Set Edition 468,Sports,Callaway,2020-08-23,320.58,210.62,SUP00387,572,3.7,9,34.3,1907,Below Avg
PROD-LS183,Essential Art,Books,Oxford,2018-08-02,34.08,26.74,SUP00486,667,4.4,0,21.54,2659,Below Avg
PROD-GC797,Modern Ottoman X 610,Furniture,Ethan Allen,2021-04-07,1566.19,960.73,SUP00012,529,3.5,52,38.66,1680,Below Avg
PROD-IR573,Professional Coffee Maker Plus 475,Home & Garden,Dyson,2020-06-24,204.01,161.71,SUP00476,502,4.2,17,20.73,1967,Below Avg
PROD-CU231,4K Laptop Pro 313,Electronics,Asus,2018-09-30,550.16,381.33,SUP00085,41,4.0,6,30.69,2600,Below Avg
PROD-RM877,Smart Mixer Max 139,Home & Garden,Black+Decker,2019-05-22,500.0,387.46,SUP00084,705,2.6,21,22.51,2366,Below Avg
PROD-ZJ401,4K Tablet Model 708,Electronics,Asus,2021-01-20,759.98,456.0,SUP00009,110,4.7,27,40.0,1757,Below Avg
PROD-GZ825,Eco Fan Elite 202,Home & Garden,Miracle-Gro,2021-09-06,211.35,132.07,SUP00292,142,4.8,16,37.51,1528,Below Avg
PROD-MJ661,Ultra Laptop X 893,Electronics,Asus,2021-02-23,1984.79,1288.58,SUP00350,1021,3.6,13,35.08,1723,Below Avg
PROD-AI297,Executive Cabinet Edition 293,Furniture,Ethan Allen,2017-03-26,2490.37,1838.03,SUP00311,529,3.8,25,26.19,3153,Below Avg
PROD-KJ762,Contemporary Table Series 686,Furniture,West Elm,2016-09-21,2382.61,1765.77,SUP00362,424,4.1,51,25.89,3339,Below Avg
PROD-YM344,Rustic Cabinet Plus 858,Furniture,Havertys,2016-08-05,2164.42,1767.51,SUP00228,207,4.5,53,18.34,3386,Low
PROD-YI862,Pro Tennis Racket Max 879,Sports,Columbia,2016-12-07,268.88,212.93,SUP00141,489,4.5,8,20.81,3262,Below Avg
PROD-YH757,Elite Helmet Plus 177,Sports,TaylorMade,2021-06-03,257.31,205.31,SUP00175,469,4.4,4,20.21,1623,Below Avg
PROD-SE419,Compact Vacuum Series 109,Home & Garden,Black+Decker,2016-03-11,500.0,307.8,SUP00066,82,4.7,21,38.44,3533,Below Avg
PROD-WO989,Professional Fan Edition 476,Home & Garden,Dyson,2018-04-08,171.27,104.68,SUP00092,103,4.8,17,38.88,2775,Below Avg
PROD-TI930,Practical Science,Books,Simon & Schuster,2015-03-09,30.91,25.92,SUP00203,141,1.6,0,16.14,3901,Low
PROD-BK499,Luxury Bench Edition 984,Furniture,Rooms To Go,2017-07-26,3000.0,2355.31,SUP00234,91,4.5,56,21.49,3031,Below Avg
PROD-GD661,Casual Jeans Model 648,Apparel,Levi's,2019-12-29,154.66,102.72,SUP00239,986,4.2,3,33.58,2145,Below Avg
PROD-LH911,Pro Tablet X 272,Electronics,Samsung,2016-06-08,1307.99,1057.59,SUP00368,1255,4.2,20,19.14,3444,Low
PROD-ML183,Compact Cabinet Pro 831,Furniture,Wayfair,2019-02-20,2251.83,1524.64,SUP00257,83,3.7,50,32.29,2457,Below Avg
PROD-RR867,Digital Headphones Elite 850,Electronics,Nikon,2017-10-21,1088.87,742.45,SUP00235,396,3.0,33,31.81,2944,Below Avg
PROD-FT948,Formal Sweater Edition 940,Apparel,Adidas,2016-11-29,172.23,111.85,SUP00319,464,4.9,2,35.06,3270,Below Avg
PROD-CY859,Pro Headphones Edition 973,Electronics,Samsung,2022-02-15,905.26,702.22,SUP00104,168,4.8,14,22.43,1366,Below Avg
PROD-UY263,Compact Mixer Model 216,Home & Garden,Black+Decker,2020-01-21,270.81,171.41,SUP00335,435,4.5,8,36.7,2122,Below Avg
PROD-OU692,Performance Golf Club Series 725,Sports,Decathlon,2020-08-04,166.02,134.81,SUP00456,313,4.7,6,18.8,1926,Low
PROD-DG407,Regular Jeans X 218,Apparel,Levi's,2018-06-15,222.29,134.27,SUP00439,875,3.8,4,39.6,2707,Below Avg
PROD-OZ693,Indoor Basketball Model 472,Sports,Decathlon,2016-02-02,328.81,250.65,SUP00084,440,2.6,4,23.77,3571,Below Avg
