customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score_str,RFM_score,segment
CUST-50000,62,8,25082.219999999998,3,5,5,355,13,Champions
CUST-50001,33,3,18015.07,4,1,4,414,9,Potential
CUST-50002,35,6,5693.71,4,4,2,442,10,Loyal
CUST-50003,108,5,6998.69,2,3,2,232,7,Potential
CUST-50004,172,4,7700.31,1,2,3,123,6,At Risk
CUST-50005,23,6,18151.62,4,4,4,444,12,Loyal
CUST-50006,79,3,14029.53,2,1,4,214,7,Potential
CUST-50007,53,4,9462.5,3,2,3,323,8,Potential
CUST-50008,17,3,3047.34,5,1,1,511,7,Potential
CUST-50009,232,4,17909.87,1,2,4,124,7,Potential
CUST-50010,102,6,6124.39,2,4,2,242,8,Potential
CUST-50011,116,3,5048.3099999999995,2,1,2,212,5,At Risk
CUST-50012,162,10,15542.99,1,5,4,154,10,Loyal
CUST-50013,64,4,9920.75,3,2,3,323,8,Potential
CUST-50014,110,7,8692.65,2,4,3,243,9,Potential
CUST-50015,77,4,5115.58,2,2,2,222,6,At Risk
CUST-50016,235,1,4038.18,1,1,2,112,4,Lost
CUST-50017,26,6,11550.27,4,4,3,443,11,Loyal
CUST-50018,186,4,19351.84,1,2,5,125,8,Potential
CUST-50019,115,6,11262.62,2,4,3,243,9,Potential
CUST-50020,233,5,5423.13,1,3,2,132,6,At Risk
CUST-50021,113,6,11175.08,2,4,3,243,9,Potential
CUST-50022,37,4,4438.92,4,2,2,422,8,Potential
CUST-50023,84,3,10405.720000000001,2,1,3,213,6,At Risk
CUST-50024,258,2,4015.09,1,1,2,112,4,Lost
CUST-50025,6,10,15990.2,5,5,4,554,14,Champions
CUST-50026,9,4,4350.98,5,2,2,522,9,Potential
CUST-50027,103,7,18266.37,2,4,4,244,10,Loyal
CUST-50028,60,5,16069.27,3,3,4,334,10,Loyal
CUST-50029,34,6,16769.82,4,4,4,444,12,Loyal
CUST-50030,25,8,40034.13,4,5,5,455,14,Champions
CUST-50031,114,3,784.82,2,1,1,211,4,Lost
CUST-50032,107,4,11233.159999999998,2,2,3,223,7,Potential
CUST-50034,38,5,22607.84,4,3,5,435,12,Loyal
CUST-50035,14,7,41109.86,5,4,5,545,14,Champions
CUST-50036,329,2,8995.76,1,1,3,113,5,At Risk
CUST-50037,38,7,32000.28,4,4,5,445,13,Champions
CUST-50038,36,7,15611.09,4,4,4,444,12,Loyal
CUST-50039,79,4,19025.5,2,2,4,224,8,Potential
CUST-50040,1,4,1843.69,5,2,1,521,8,Potential
CUST-50041,84,3,10391.189999999999,2,1,3,213,6,At Risk
CUST-50042,32,3,10594.890000000001,4,1,3,413,8,Potential
CUST-50043,44,2,12654.07,3,1,4,314,8,Potential
CUST-50044,17,6,27114.469999999998,5,4,5,545,14,Champions
CUST-50045,21,5,4842.0599999999995,4,3,2,432,9,Potential
CUST-50046,17,6,11046.02,5,4,3,543,12,Loyal
CUST-50047,105,4,11835.619999999999,2,2,3,223,7,Potential
CUST-50048,7,7,46780.369999999995,5,4,5,545,14,Champions
CUST-50049,19,5,21862.75,4,3,5,435,12,Loyal
CUST-50050,46,3,10031.92,3,1,3,313,7,Potential
CUST-50051,161,4,1908.37,1,2,1,121,4,Lost
CUST-50052,117,4,15704.7,2,2,4,224,8,Potential
CUST-50053,16,4,15630.880000000001,5,2,4,524,11,Loyal
CUST-50054,52,6,4836.26,3,4,2,342,9,Potential
CUST-50055,135,5,8379.93,1,3,3,133,7,Potential
CUST-50056,15,10,36971.61,5,5,5,555,15,Champions
CUST-50057,1,9,42584.78,5,5,5,555,15,Champions
CUST-50058,23,3,3482.29,4,1,1,411,6,At Risk
CUST-50059,85,4,7455.02,2,2,2,222,6,At Risk
