supplier_id,supplier_name,region,country,contact_email,contract_start,contract_end,on_time_delivery_rate,quality_score,total_orders_supplied,days_to_contract_end,order_norm,score,segment
 0 ,: ,Asia Pacific,suppliercountry_i9{_a,: ,2019-12-03,2026-01-12,0.83,0.88,3086,61,0.9868217054263566,0.866,Excellent
contact, 0,Middle East & Africa,:00end-id-,,2020-04-03,2025-07-31,0.88,0.82,767,-104,0.087984496124031,0.777,Good
00,data: ,Europe,{,contractdelivery,2021-04-18,2024-03-01,0.88,0.83,2438,-621,0.7356589147286822,0.846,Good
__start19 ,data_time9,Europe,", ",: ,2021-07-09,2024-01-24,0.82,0.81,673,-658,0.05155038759689923,0.739,Good
_ 0region_orderssupplieds,400,Latin America,00email., ,2018-05-12,2025-01-29,0.93,0.86,540,-287,0.0,0.809,Good
",-00: ",00}00supplier@,Asia Pacific,start ,.8s.total ,2018-08-30,2023-01-23,0.86,0.84,972,-1024,0.16744186046511628,0.783,Good
1,_qualityend,Europe,:,:,2021-01-14,2022-11-18,0.82,0.84,1472,-1090,0.3612403100775194,0.782,Good
8a,contract ,North America,,_ ,2020-07-20,2024-07-27,0.84,0.79,1569,-473,0.3988372093023256,0.776,Good
supplier-,,Middle East & Africa,adelivery_{,"0-on001, ",2018-05-10,2026-01-12,0.93,0.86,1568,61,0.3984496124031008,0.849,Good
country 0_00,", ",Latin America,:country00i}_ ,,2019-12-01,2024-01-14,0.93,0.87,3120,-668,1.0,0.913,Excellent
T00.s9,"4, ",North America,{,contract_name,2020-02-23,2023-05-29,0.85,0.82,3104,-898,0.993798449612403,0.852,Excellent
___,"data , ",North America,totalp5:T00id.,a__s,2019-05-05,2023-12-04,0.87,0.88,3005,-709,0.9554263565891473,0.883,Excellent
",: ",",:00",Middle East & Africa, ,: ,2020-02-01,2025-09-01,0.93,0.85,1574,-72,0.4007751937984496,0.845,Good
: {,00 ,Europe,:-1: 00i_: 01orders ,5_supplied7p09,2021-07-22,2021-12-30,0.88,0.88,1529,-1413,0.38333333333333336,0.83,Good
.: ,.2,Europe,"A,rate1._ ",:supplier: ,2021-07-22,2021-12-01,0.86,0.83,1316,-1442,0.30077519379844964,0.792,Good
: ,: ,North America,", ",contact- _00: ,2018-08-10,2024-12-30,0.88,0.88,1842,-317,0.5046511627906977,0.842,Good
1, ,Latin America,:region,: ,2020-07-05,2023-09-10,0.83,0.88,1568,-794,0.3984496124031008,0.807,Good
,: ,North America,:,: ,2019-11-15,2024-05-12,0.85,0.88,1344,-549,0.3116279069767442,0.808,Good
 ,rate_:00,Europe,:400,", ",2021-07-22,2021-12-01,0.93,0.8,871,-1442,0.12829457364341085,0.798,Good
", ",", ",North America,supplier00,"supplied 8@}{ :quality.007,9 ",2020-07-10,2025-06-14,0.87,0.88,698,-151,0.06124031007751938,0.793,Good
"p, ",} ,Europe,",oi", ,2019-11-30,2024-01-12,0.82,0.85,1967,-670,0.5531007751937984,0.805,Good
", _",}time,Europe,.,contract_end,2020-02-12,2024-08-30,0.93,0.86,2877,-439,0.9058139534883721,0.9,Excellent
_7name, 0_scoreid,Latin America,: ,,2018-05-10,2022-03-12,0.92,0.87,873,-1341,0.12906976744186047,0.821,Good
_: ,_}end,Latin America,:2,contact_77,2021-02-22,2023-03-14,0.87,0.8,2109,-974,0.608139534883721,0.816,Good
", ","@end-}-1200 0,",North America,:_name,supplier,2020-11-24,2024-07-22,0.88,0.83,849,-478,0.11976744186046512,0.784,Good
:,: ,Asia Pacific,: ,s:}9 a,2018-11-01,2022-05-22,0.93,0.88,2123,-1270,0.6135658914728682,0.878,Excellent
, ,Europe,suppliedregion,: ,2018-05-10,2024-12-02,0.93,0.85,1132,-345,0.22945736434108527,0.828,Good
"00:00, ",}_,Middle East & Africa,", ",total_eeplnend 0s1 ,2020-03-10,2022-06-29,0.93,0.85,3067,-1232,0.9794573643410853,0.903,Excellent
:quality,quality,North America,"a,062",end,2019-03-01,2026-01-12,0.83,0.85,1015,61,0.18410852713178294,0.773,Good
_score{s,country.,Europe,: S,. ,2018-12-14,2022-05-10,0.84,0.77,3120,-1282,1.0,0.828,Good
":00,: ",: ,Asia Pacific,on,on,2020-05-10,2024-09-20,0.82,0.79,1251,-418,0.2755813953488372,0.754,Good
: ,", }",Europe,:__.@deliverynsuppliertotal0{,00,2021-07-17,2024-03-01,0.85,0.82,836,-621,0.11472868217054263,0.764,Good
deliveryname,",1",Middle East & Africa,total5,", ",2018-06-05,2021-12-01,0.88,0.78,1461,-1442,0.3569767441860465,0.788,Good
",","8, 0",Latin America,", ",,2019-11-05,2024-12-13,0.84,0.81,3120,-334,1.0,0.844,Good
"e00,2",quality,Asia Pacific,country-score.p ,,2021-07-12,2024-02-14,0.83,0.78,2920,-637,0.9224806201550387,0.819,Good
,:.38 0_7contract,Europe,"contact.9l,",_delivery,2018-06-18,2024-08-14,0.82,0.85,639,-455,0.03837209302325582,0.754,Good
: ,":contract 2,2onT00:-contract ",Middle East & Africa,: ,"0on,00",2019-06-15,2025-03-13,0.83,0.88,1006,-244,0.1806201550387597,0.785,Good
 ,supplier_,North America,", start","00supplier, ",2021-07-22,2024-12-12,0.93,0.83,1427,-335,0.3437984496124031,0.831,Good
regionrates,800_,Europe,"9_,: ",: ,2021-07-22,2024-06-17,0.88,0.87,718,-513,0.06899224806201551,0.795,Good
_00,:_ostart00end8,Europe,: ,id_,2019-07-16,2024-11-10,0.92,0.82,865,-367,0.12596899224806202,0.801,Good
", {}8time",countrye.1a-,Middle East & Africa,supplier_email,on_ ,2018-08-04,2022-03-12,0.82,0.78,1244,-1341,0.27286821705426356,0.749,Good
",T00__deliverys ",: ,Europe,: ,00 000supplied88_,2021-06-03,2025-03-15,0.93,0.85,2116,-242,0.6108527131782946,0.866,Excellent
