supplier_id,supplier_name,region,country,contact_email,contract_start,contract_end,on_time_delivery_rate,quality_score,total_orders_supplied,days_to_contract_end
.: ,.2,Europe,"A,rate1._ ",:supplier: ,2021-07-22,2021-12-01,0.86,0.83,1316,-1442
}sl:on5regionquality,", ",Europe, ,contract__8rateocountry5-}.__orders{country: ,2019-08-10,2021-12-01,0.82,0.88,1241,-1442
 ,rate_:00,Europe,:400,", ",2021-07-22,2021-12-01,0.93,0.8,871,-1442
 ,":, ",North America,: ,_ 0endo},2019-12-14,2021-12-01,0.82,0.84,2112,-1442
contract,total_end_00,Asia Pacific,supplierregion_,: ,2018-12-18,2021-12-01,0.83,0.86,736,-1442
", data8start",start.,Europe,", oemail7-: ",,2021-06-08,2021-12-01,0.9,0.84,987,-1442
supplier_on,:: orders4---0 ,Europe,A,"totale@, ",2018-12-22,2021-12-01,0.88,0.77,3120,-1442
"o.s 0, ",: ,Latin America,":,2",,2018-05-10,2021-12-01,0.92,0.8,660,-1442
contract@_-_}.,contract,Europe,7,supplier,2018-05-22,2021-12-01,0.89,0.88,1017,-1442
,aT00 ,Europe,totalcontract_:, ,2018-05-10,2021-12-01,0.93,0.85,1295,-1442
"contract_supplied,8end00",supplier-_{,Europe, ,: ,2018-05-10,2021-12-01,0.85,0.82,1017,-1442
deliveryname,",1",Middle East & Africa,total5,", ",2018-06-05,2021-12-01,0.88,0.78,1461,-1442
",a_id",,North America,: ,,2020-08-30,2021-12-01,0.82,0.8,1355,-1442
"supplier, ",: ,Asia Pacific,5- l_,T00-namel,2019-03-14,2021-12-01,0.91,0.85,1562,-1442
",_ ",on_ ,Middle East & Africa,supplied-00-score-onsupplieron_ ,", ",2020-07-10,2021-12-01,0.91,0.81,713,-1442
:name,77,Europe,0}8,ntime{delivery_7 {_ ,2021-01-17,2021-12-01,0.82,0.88,540,-1442
",contact1supplieridsupplierT00, ",",, ",Middle East & Africa, {1},: ,2018-05-10,2021-12-01,0.89,0.8,571,-1442
", ",: ,Europe,8_email8id: ,}end,2020-05-03,2021-12-01,0.93,0.83,1454,-1442
:2,8-_score,Asia Pacific,", -}6",__,2021-07-22,2021-12-01,0.87,0.81,879,-1442
semail, ,North America,n 0..:contract ,"-,-T00nameorders ",2020-02-21,2021-12-01,0.92,0.77,657,-1442
: , 0 ,Europe,", ",{{00 ,2018-06-02,2021-12-01,0.83,0.77,866,-1442
region ,_,Asia Pacific,-contract}.supplied7,data,2021-07-01,2021-12-01,0.88,0.88,1550,-1442
.,: 0.,Middle East & Africa,supplier ,: ,2018-05-10,2021-12-01,0.9,0.88,1567,-1442
s,: ,Asia Pacific,: ,4countryend,2019-05-18,2021-12-01,0.88,0.82,979,-1442
on57startid ,":,-, ",North America,sa:supplier_00: {04delivery,: ,2019-12-29,2021-12-01,0.84,0.81,3017,-1442
 ,,Latin America,ss ,:_end,2018-05-10,2021-12-01,0.93,0.77,813,-1442
5_contract_-__-.5email.8supplied,: ,Europe,total_00,:_00}...,2019-05-05,2021-12-01,0.84,0.85,1342,-1442
8supplieda ,", ",Asia Pacific,} ,800_start,2021-07-12,2021-12-01,0.82,0.8,1030,-1442
contracton:score-2-00,,Europe,", ",ids-on,2021-06-14,2021-12-01,0.83,0.88,1077,-1442
"8T00, ","8,_1_4email1@@: -",Latin America,: ,",- 0: ",2018-05-10,2021-12-01,0.82,0.85,1564,-1442
":, 8supplied",: ,Latin America,-_,: ,2018-05-10,2021-12-01,0.89,0.86,1334,-1442
_deliveryT00,.00_8:8orders{,North America,:.2__id-,: ,2020-02-22,2021-12-01,0.89,0.77,3115,-1442
 ,: ,Europe,,:totalqualitydelivery-5contract00id:{,2019-07-30,2021-12-01,0.93,0.8,2194,-1442
: ,", ",Europe,totale5,supplier_,2019-05-12,2021-12-01,0.82,0.83,972,-1442
contractsupplier.contactorders9a,: ,Europe,"}00, ",:s_name,2019-12-29,2021-12-01,0.82,0.88,1258,-1442
", ",: ,Europe,},", ",2018-12-01,2021-12-01,0.9,0.84,550,-1442
 ,,Latin America,"id-,s@","on_-1200-end,, ",2018-05-10,2021-12-01,0.82,0.78,731,-1442
{-region5otimea,: ,Europe,":, ",", ",2018-07-02,2021-12-01,0.93,0.82,1572,-1442
on,contact ,Middle East & Africa,00}-12,"contractordersregion0,--",2019-02-01,2021-12-01,0.93,0.83,2419,-1442
start_supplier_name, ,North America,SSUP,00nameo ,2019-12-03,2021-12-01,0.82,0.78,3120,-1442
"_-, n ",", ",North America,_suppliedT00}id-,: ,2020-03-03,2021-12-01,0.84,0.77,2109,-1442
- ,,Asia Pacific,:SUPe, ,2018-12-05,2021-12-01,0.93,0.83,891,-1442
_startscore:time,: 0rate00.region,North America,202,oncontract9,2018-11-01,2021-12-01,0.91,0.82,900,-1442
: ,{name: s,North America, ,9,2018-10-08,2021-12-01,0.84,0.88,2017,-1442
@,supplied-}-,Europe,totalordersemail,}email,2021-07-22,2021-12-01,0.82,0.87,1571,-1442
._2,data,Europe,,contract-,2018-06-16,2021-12-01,0.92,0.88,596,-1442
country@,:4,Europe,1,14{,2018-12-08,2021-12-01,0.87,0.87,646,-1442
",} ", ,Europe,region_name,:email,2018-06-14,2021-12-01,0.89,0.81,820,-1442
: ,: ,North America,: ,", ",2018-05-14,2021-12-01,0.82,0.86,1980,-1442
: ,1-,Europe,supplier , ,2018-05-10,2021-12-01,0.93,0.87,1380,-1442
,202,Europe,",,",: ,2019-12-02,2021-12-01,0.88,0.78,3101,-1442
supplier: ,country}0supplier_e_start_ ,North America,_,: ,2019-09-22,2021-12-01,0.93,0.88,758,-1442
:1 ,contactdeliverys8_,Asia Pacific,"onorders_ , ",8{,2019-06-16,2021-12-01,0.83,0.81,1451,-1442
 ,: 0,North America,: ,contract{SUPidstart,2021-05-30,2021-12-01,0.82,0.86,1364,-1442
 ,contract_9s,North America,}-03-contract--}T00T00,"00,00:00, ",2019-04-08,2021-12-01,0.88,0.87,540,-1442
email,:: 00e,Asia Pacific,"contact}7.,score","supplier, ",2019-02-28,2021-12-01,0.88,0.77,778,-1442
T00,-onT00end 0supplierdelivery,North America,00 i_,1,2019-12-15,2021-12-01,0.84,0.78,887,-1442
",  ", ,Middle East & Africa,"p, score",",-contact@9o",2020-01-21,2021-12-01,0.92,0.88,1982,-1442
:: ,", ",Europe,country_e:_ ,stime ,2019-06-22,2021-12-01,0.87,0.82,1187,-1442
__:end,"202, ",Asia Pacific, ,SUPtime_,2020-02-14,2021-12-01,0.84,0.78,734,-1442
8},,Europe,,:a,2019-11-25,2021-12-01,0.88,0.85,790,-1442
SUPSUP,", start",Asia Pacific, ,: 7contract__,2018-05-10,2021-12-01,0.83,0.88,3109,-1442
-: ,202_,North America,0-emailscore,:0000: ,2018-09-12,2021-12-01,0.83,0.87,881,-1442
id_,endiT0000: ,Asia Pacific,contract0,", ",2019-07-02,2021-12-01,0.9,0.85,1285,-1442
a {,,Asia Pacific,contract,_:2name_time_.end5,2019-05-05,2021-12-01,0.93,0.83,2768,-1442
00 {,:: {,North America,supplier._supplied,id,2019-03-28,2021-12-01,0.86,0.81,1572,-1442
0043supplier:00,,Middle East & Africa,S,: ,2020-02-27,2021-12-01,0.83,0.77,1297,-1442
",a ",datadata,Europe,00contact ,"contract,, ",2020-12-10,2021-12-01,0.82,0.88,1338,-1442
country  0 0{,: e: ,Latin America,end,: ,2021-07-22,2021-12-01,0.83,0.88,1409,-1442
,countryT00 ,Europe,7,.,2021-02-10,2021-12-01,0.82,0.84,772,-1442
:{,: {,Latin America,: , ,2021-02-12,2021-12-01,0.93,0.88,540,-1442
: ,{,Europe,"_ , ",: ,2021-07-10,2021-12-01,0.86,0.81,1340,-1442
",delivery:",7,Europe,__total}, 0-,2021-02-28,2021-12-01,0.93,0.88,1340,-1442
_ ,"contract,a ",North America,supplier s.,: ,2019-06-04,2021-12-01,0.82,0.77,3084,-1442
