employee_id,employee_name,gender,age,department,role,joining_date,tenure_years,performance_score,salary,bonus,training_hours,attrition_status,manager_id,joining_date_year,joining_date_month,joining_date_day,joining_date_weekday
0,377,1,0.5476190476190477,4,48,2011-05-09,0.8914728682170541,0.9255319148936171,0.25079160642839715,0.18602011859347772,0.6082474226804124,False,1272,2011,5,9,0
1,1657,1,0.30952380952380953,2,62,2012-05-29,0.8139534883720929,0.7340425531914894,0.14273662966280204,0.061154110258586206,0.41237113402061853,False,458,2012,5,29,1
2,639,0,0.7142857142857144,5,57,2013-06-01,0.7364341085271318,0.20212765957446807,0.06519673363119666,0.007802014629476621,0.30927835051546393,False,1407,2013,6,1,5
3,328,0,0.7380952380952381,3,72,2011-04-22,0.8992248062015502,0.5319148936170213,0.03605299733211885,0.0119142176330421,0.4639175257731959,False,871,2011,4,22,4
4,1836,0,0.45238095238095244,4,67,2014-09-18,0.6356589147286822,0.7340425531914894,0.11171008108157454,0.0517020577262889,0.4020618556701031,False,1181,2014,9,18,3
5,334,0,0.4761904761904763,3,16,2017-07-31,0.4108527131782946,0.3936170212765957,0.06344074750804704,0.012619268696638396,0.14432989690721654,False,1656,2017,7,31,0
6,1326,1,0.5714285714285714,3,72,2017-09-06,0.40310077519379844,0.553191489361702,0.07279253421736812,0.018281784964486417,0.31958762886597936,False,1535,2017,9,6,2
7,1718,1,0.30952380952380953,3,16,2016-03-06,0.5193798449612403,0.36170212765957444,0.04100476848143793,0.008966001462841119,0.5360824742268041,False,396,2016,3,6,6
8,68,1,0.19047619047619047,5,1,2012-01-14,0.8449612403100775,0.5212765957446809,0.15169859235323044,0.09598150193189853,0.22680412371134018,False,638,2012,1,14,5
9,1277,0,0.7142857142857144,4,47,2019-12-20,0.2248062015503876,0.351063829787234,0.009722334192848542,0.0048596050755153105,0.5876288659793815,False,1669,2019,12,20,4
10,574,1,0.45238095238095244,4,5,2011-06-12,0.8914728682170541,0.22340425531914895,0.02927162494427911,0.004761904761904762,0.5670103092783505,False,1668,2011,6,12,6
11,1978,0,0.23809523809523814,5,57,2015-12-08,0.5426356589147285,0.4787234042553191,0.059128332851167004,0.014199733748000314,0.22680412371134018,False,857,2015,12,8,1
12,1981,0,0.6190476190476191,4,50,2011-09-07,0.8682170542635659,0.6170212765957447,0.03018150343358679,0.012684260181155774,0.6597938144329897,False,1268,2011,9,7,2
13,405,1,0.3571428571428572,0,77,2015-11-23,0.5426356589147285,0.6063829787234042,0.4475536211849861,0.38749803560574464,0.4639175257731959,False,171,2015,11,23,0
14,1967,0,0.30952380952380953,4,40,2011-11-29,0.8527131782945736,0.36170212765957444,0.05938634353093136,0.011278206703818357,0.2680412371134021,False,930,2011,11,29,1
